V1,ID,Task,Q1Gender,Age,Distance,Trips,Q13CurrentThreatToSelf,Q14FutureThreatToSelf,Q15ThreatToEnvironment,BP,Charity,Consequentiality,Experts,Education,Employment,Survey,Price_B,Performance_B,Emission_B,Performance_A,Emission_A,Price_A,Choice,Income,Order,Task.1,Consequentiality.1,Experts.1,Q6ResearchResponse,Q6Bid,Q7Bid,Q7Bid2,Q7TreatmentResponse,Q7Response2,Timing,Q12CECertainty,Q6ResearchCertainty,Q7TreatmentCertainty,IncomeDummy,av_A,av_B,Bid_Alt,ExpertsDummy,ExpertsGroup,Weights,Q5Knowledge,Order.1
1,1,1,1,32.5,50,1,3,3,3,1,0,0,3,3,4,8,5,5,10,0,0,0,2,750,1,1,0,3,2,60,60,120,2,1,194,1,1,2,0,1,1,0,0,1,1.36495895674997,3,1
2,1,2,1,32.5,50,1,3,3,3,1,0,0,3,3,4,8,0.5,10,10,0,0,0,1,750,1,2,0,3,2,60,60,120,2,1,194,1,1,2,0,1,1,0,0,1,1.36495895674997,3,1
3,1,3,1,32.5,50,1,3,3,3,1,0,0,3,3,4,8,2.5,5,90,0,0,0,2,750,1,3,0,3,2,60,60,120,2,1,194,1,1,2,0,1,1,0,0,1,1.36495895674997,3,1
4,1,4,1,32.5,50,1,3,3,3,1,0,0,3,3,4,8,1,10,40,0,0,0,1,750,1,4,0,3,2,60,60,120,2,1,194,1,1,2,0,1,1,0,0,1,1.36495895674997,3,1
5,2,1,0,47.5,35,0,3,3,3,1,0,1,3,3,6,10,1,50,90,0,0,0,1,2750,1,1,1,3,1,40,40,20,1,1,347,1,1,1,1,1,1,0,0,1,0.862394081865333,2,1
6,2,2,0,47.5,35,0,3,3,3,1,0,1,3,3,6,10,2.5,5,10,0,0,0,1,2750,1,2,1,3,1,40,40,20,1,1,347,1,1,1,1,1,1,0,0,1,0.862394081865333,2,1
7,2,3,0,47.5,35,0,3,3,3,1,0,1,3,3,6,10,5,10,90,0,0,0,1,2750,1,3,1,3,1,40,40,20,1,1,347,1,1,1,1,1,1,0,0,1,0.862394081865333,2,1
8,2,4,0,47.5,35,0,3,3,3,1,0,1,3,3,6,10,1,10,40,0,0,0,1,2750,1,4,1,3,1,40,40,20,1,1,347,1,1,1,1,1,1,0,0,1,0.862394081865333,2,1
9,3,1,0,63,1,3,3,2,3,0,0,0,2,2,2,8,1,50,90,0,0,0,1,3500,1,1,0,2,1,60,5,2,1,1,282,1,1,1,1,1,1,0,0,0,1.11663946212938,3,1
10,3,2,0,63,1,3,3,2,3,0,0,0,2,2,2,8,0.5,5,40,0,0,0,1,3500,1,2,0,2,1,60,5,2,1,1,282,1,1,1,1,1,1,0,0,0,1.11663946212938,3,1
