b_Price.ID,b_Price.post.mean,b_Price.post.sd,b_Performance_10.ID,b_Performance_10.post.mean,b_Performance_10.post.sd,b_Performance_50.ID,b_Performance_50.post.mean,b_Performance_50.post.sd,b_Emissions_40.ID,b_Emissions_40.post.mean,b_Emissions_40.post.sd,b_Emissions_90.ID,b_Emissions_90.post.mean,b_Emissions_90.post.sd
1,-0.140483324640827,0.151542066625438,1,0.539539676473264,1.20818639454092,1,2.3357793567028,1.2852948314321,1,1.21151823708954,0.919612143852412,1,-0.0930623159449729,3.18677859392977
2,-6.33292830135941,12.661881685616,2,0.613408556814047,1.11929082389571,2,2.51453697443491,1.24995384356107,2,1.29045036829537,0.892905239664676,2,1.57129923698441,2.6092663383195
3,-6.49088333387558,15.0804398139551,3,0.355303469437274,1.21684905479302,3,2.52254416229768,1.24597298000257,3,1.32292300385966,0.839294509347924,3,1.36718430902816,2.69456488948217
4,-0.52916906061383,0.399089591879153,4,0.245817508827792,1.18030447064717,4,2.06502412866359,1.29053495872378,4,1.15738772142433,0.923795047444235,4,2.20321857754009,2.90844253206771
5,-0.716528436984717,0.631058790637878,5,0.369885489008401,1.21826003102369,5,1.7916148928843,1.306583762735,5,1.38975052361945,0.905842477738625,5,-0.653343182222834,2.99647505379232
6,-0.127445808299379,0.146021875150338,6,0.263758409702601,1.20689152063816,6,2.25452698426478,1.28198072460894,6,1.13299267280529,0.918909472847933,6,0.129572542315288,3.19781838923131
7,-3.10368322380849,9.60304794071454,7,0.478008076767117,1.17867296529814,7,2.38948186431786,1.306827443217,7,1.23753118851346,0.901733806362745,7,-2.27879931253434,2.64519604487302
8,-0.124465052059766,0.126318085891259,8,0.280604246818634,1.20956127371366,8,2.27227072448743,1.3050705808334,8,1.10765314990519,0.920622466385383,8,0.370777534891961,3.22487578831808
9,-0.259011064382393,0.231688457782181,9,0.275937897964457,1.20126445267925,9,2.67097071144073,1.2959850232602,9,1.13659621348846,0.919724506671343,9,-0.118273787875539,3.18379339961752
10,-0.191873095232475,0.224436151482036,10,0.312927514890853,1.21055593372241,10,2.30893371340385,1.29550255817187,10,1.10148815782928,0.922553867816297,10,0.0133049966627472,3.15996119946541
11,-2.01411004167458,4.78511510732678,11,0.528646902124034,1.05267862797336,11,2.59421488347753,1.26459856666591,11,1.12509382492798,0.917741595473746,11,-2.5044266086877,3.32696133436413
12,-0.798205918240102,1.60077386673659,12,0.356461353150621,1.20705113302282,12,2.33919661956653,1.29256391540824,12,0.970141295914136,0.909277804391334,12,-1.0371551253567,2.93372636048453
13,-1.54106168462373,2.89918658603726,13,0.32442105899707,1.22236664146589,13,2.42515871532859,1.26311535260699,13,0.73353733350129,0.943418693835674,13,0.334442510579494,3.20492287187744
14,-0.126308449275034,0.129780679742757,14,0.298256095328068,1.2100814090086,14,2.44676072560856,1.28125832877215,14,1.13860258536929,0.917035122671685,14,0.0519343330517454,3.19735149645604
15,-1.46910935159835,3.49411784322915,15,-0.324967003413518,1.28081186076678,15,2.46134297946544,1.26246892797425,15,0.99506856215578,0.871170231441376,15,1.38919643023221,2.83034253463731
16,-8.00152964257052,13.5568519393011,16,0.367819491219573,1.21938587285668,16,2.39644091333599,1.25605015552325,16,1.42030886398656,0.792437584689753,16,2.92190123445279,2.08048671567254
17,-0.105426162206013,0.108186457471479,17,0.277374457415903,1.21439661306402,17,2.34000128527869,1.29520721677995,17,1.15051329441336,0.920505347196413,17,0.239056439053985,3.21340210010028
18,-0.233142945599992,0.264090052907758,18,0.340834476702721,1.2158925986166,18,2.26504745491843,1.2925725860596,18,1.1317421803925,0.916463296364815,18,0.221220268410128,3.18802359690628
19,-0.560183125138303,0.517746021399026,19,0.118487149087274,1.18756691431795,19,2.61293097781771,1.26913536610375,19,0.923097494366166,0.939369794616075,19,2.08185118738509,2.89640353812046
20,-8.75218161523216,47.29740732887,20,0.337512928502902,1.21240186417643,20,2.32524228699029,1.3060414267911,20,1.22358114463588,0.88755014712551,20,2.00689788422131,2.36078023842231
21,-0.696700910429751,0.404234422397961,21,0.33154710617258,1.20524496353108,21,2.88465144137233,1.2098009534257,21,0.966328486226822,0.930010611596405,21,0.369603351394052,3.21543451167568
22,-0.16764719430605,0.158920487745197,22,0.349284758764635,1.22210801270518,22,2.46752622500729,1.28454752755262,22,1.15149694313538,0.925637625346414,22,0.379459729699965,3.22192402704211
23,-7.13150418965083,14.4424222139101,23,0.457645733545122,1.15371867296913,23,2.36993803853449,1.27481541748936,23,1.15115555936279,0.915239518448952,23,0.398829591442787,3.16627185522226
24,-0.75211659695227,1.4420119641886,24,0.164858786551106,1.18366230552695,24,2.34318319431449,1.28366822644708,24,0.789399623906995,0.952963837314078,24,1.47014846653391,2.91342552011972
25,-0.204243270733868,0.294314971140208,25,0.257455924049551,1.21776380017248,25,2.31351766011642,1.29154534437704,25,1.11907039557251,0.916205349244861,25,-0.134251718275013,3.2050701934078
26,-0.756570741609656,1.68392062908241,26,0.0557337163211026,1.20404673913321,26,2.53391966464548,1.24123910763281,26,1.14413383476533,0.91581327387654,26,-1.22690696067742,3.29813796927432
27,-0.171796236941291,0.2002861427045,27,0.278730895641463,1.20942832627174,27,2.42123870247101,1.27128235342625,27,1.15325147191277,0.918887376319021,27,-0.45361130160573,3.21558355377391
