"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_A",1.86311414024028,0.663891982854427,2.80635131671534,0.00250530151027029,0.751787217347828,2.47824663315375,0.0132029845498418
"asc_B",0,NA,NA,NA,NA,NA,NA
"mu_Performance_10",0.226960847269013,0.319963678871872,0.709333159529956,0.239058877774597,0.251990521088744,0.900672161351193,0.367762654452215
"mu_Performance_50",1.87696157745171,0.518338450984983,3.62111198558581,0.000146669749513273,0.356466704902763,5.26546112620449,1.39837908363916e-07
"mu_Emissions_40",0.869994127978881,0.379327280525281,2.29351848033218,0.0109090863246499,0.325519964904807,2.67262909122424,0.00752594116872363
"mu_Emissions_90",0.142617294664389,0.630891909343367,0.226056623253934,0.410578690479213,0.589525692859346,0.241918709212926,0.808843152800566
"mu_Price",-1.10252487456953,0.206231438779434,-5.34605626132827,4.49456386553138e-08,0.255085543798503,-4.32217701619515,1.54497153710409e-05
"sig_Performance_10",0.0376032638285615,0.330928360338678,0.113629619988077,0.454765703031493,0.0922492985768144,0.407626555526055,0.683547865132515
"sig_Performance_50",0.0681722783295702,0.474015953589271,0.143818531451034,0.44282188451211,0.0606295180620744,1.12440739277811,0.260840237246878
"sig_Emissions_40",0.951226347188474,0.254272554590594,3.74097137113382,9.1655201484464e-05,0.210588218001584,4.51699699164232,6.27227961946808e-06
"sig_Emissions_90",-3.02640582147852,0.696235629363927,-4.34681262181801,6.90650622592326e-06,0.6385909558901,-4.73919305239795,2.1457100249922e-06
"sig_Price",1.89781396681882,0.295505586945917,6.42226086631029,6.71325217638241e-11,0.334409406536416,5.67512136238952,1.38590365850177e-08
"Experts_Performance_10_Int",0.00239108459712767,0.0599232266370088,0.0399024673956881,0.484085441987068,0.0568217156864397,0.0420804716690083,0.966434547730362
"Experts_Performance_50_Int",0.043033353993138,0.0704184671055597,0.611108928693797,0.270563734594758,0.0743415299876122,0.578860214476468,0.562683497384035
"Experts_Emissions_40_Int",0.252391743395281,0.0619179831222109,4.07622681922829,2.28861862385799e-05,0.0613969402751283,4.11081956632168,3.94257207891879e-05
"Experts_Emissions_90_Int",0.207529884519279,0.0736711123115114,2.81697775434363,0.00242389416403244,0.0778565180259543,2.66554284446803,0.00768641367324463
"b_Order",0.262930536248396,0.199687128584222,1.31671248974618,0.0939675077407108,0.237881296273971,1.10530142708477,0.269028999768746
"b_Gender",0.0621309467826792,0.201259552369723,0.308710548399421,0.378770859527357,0.232894764314003,0.266776915168906,0.789640929313566
"b_Age",0.00697621875203765,0.00745736327784614,0.935480610521168,0.174770335586112,0.0088133793246681,0.791548677873383,0.428623882149112
"b_Distance",-0.0131314440611029,0.00520943080976616,-2.52070610794663,0.00585598129194265,0.00641035160320793,-2.04847485347474,0.0405134936136107
"b_Knowledge",-0.0666254233348215,0.11273996438691,-0.590965445990128,0.277271786718955,0.170585419155029,-0.390569274119917,0.696115640872667
"b_Charity",-0.513583528163142,0.180038370994101,-2.85263372095257,0.00216792829024415,0.244262793978884,-2.10258598862806,0.0355019757830763
"b_Education",0.109007096362232,0.104108154395966,1.04705627522349,0.147536812052664,0.138454395074934,0.78731409214735,0.43109802227519
"b_Income",-0.405988232931011,0.194906017901953,-2.08299485722007,0.018625846166221,0.245065152525494,-1.65665427641237,0.0975893921860189
"b_Cons",0.439192807599515,0.128510835961794,3.41755467009869,0.00031593201188207,0.172157263126723,2.55111401995413,0.0107379189988279
"b_BP",0.159687608540413,0.171558241148683,0.930806981181495,0.175976708912188,0.214029892253215,0.746099560483304,0.455607274817434
"b_Understanding",0.0117249576650293,0.0555519382437535,0.211062980621522,0.416419063337896,0.0681440523060313,0.172061350451734,0.863389297422604
"b_Certainty",-0.00557425557434631,0.172611381053828,-0.0322936734548691,0.487118927213366,0.217491531406256,-0.0256297591832855,0.979552649466527
"b_Q13",-0.198235672643284,0.142382823760461,-1.39227237814013,0.0819199662950567,0.15787894408548,-1.25561818133236,0.209254436280551
"b_Q14",0.22952457544382,0.141367218038092,1.62360537774729,0.0522300284949951,0.16689159772684,1.37529137817648,0.169041128415061
"b_Q15",0.554467083928221,0.104832447289834,5.2890788898142,6.14669320997407e-08,0.140983266804465,3.93285739858215,8.39420396328006e-05
