,Variables,Unbalanced...2,Balanced...3,Unbalanced...4,Balanced...5,Unbalanced...6,Balanced...7,Unbalanced...8,Balanced...9
1,IncomeDummy,0.103,0,0.087,0,0.11,0,0.217,0
2,AgeDummy,-0.144,0,-0.062,0,-0.067,0,-0.121,0
3,EducationDummy,0.082,0,0.083,0,0.144,0,0.167,0
4,GenderDummy,-0.106,0,-0.136,0,-0.069,0,-0.062,0
5,Order,-0.041,0,-0.049,0,0.011,0,-0.012,0
6,Q3Distance,-0.127,0,0.005,0,-0.015,0,-0.074,0
7,Q5Knowledge,-0.276,0,-0.172,0,0.123,0,0.555,0
8,Q16BP,-0.148,0,0.014,0,0.379,0,0.742,0
9,Q18Charity,0.253,0,0.144,0,0.308,0,0.537,0
10,Q23Employment,0.265,0,0.233,0,0.236,0,0.431,0
11,Q24RonaImpact,0.737,0,0.208,0,0.276,0,0.332,0
