,Variable,1,2,3,4,5
1,b_Emissions_40.post.mean,128 (1),450 (0.192),2493 (0.106),2559 (0.019),1163 (0.171)
2,b_Emissions_40.post.mean,286 (0.192),1058 (1),5657 (0.829),5753 (0.553),2533 (0.414)
3,b_Emissions_40.post.mean,1523 (0.106),5889 (0.829),31500.5 (1),32421 (0.086),14628 (0.655)
4,b_Emissions_40.post.mean,1233 (0.019),5149 (0.553),27066 (0.086),28084.5 (1),12620 (0.082)
5,b_Emissions_40.post.mean,757 (0.171),2987 (0.414),15492 (0.655),15820 (0.082),7200 (1)
6,b_Emissions_90.post.mean,128 (1),408 (0.529),2262 (0.397),2167 (0.34),1270 (0.037)
7,b_Emissions_90.post.mean,328 (0.529),1058 (1),5788 (0.978),5542 (0.859),3323 (0.042)
8,b_Emissions_90.post.mean,1754 (0.397),5758 (0.978),31500.5 (1),29669 (0.962),17553 (0.01)
9,b_Emissions_90.post.mean,1625 (0.34),5360 (0.859),29818 (0.962),28084.5 (1),16713 (0.007)
10,b_Emissions_90.post.mean,650 (0.037),2197 (0.042),12567 (0.01),11727 (0.007),7200 (1)
11,b_Performance_10.post.mean,128 (1),445 (0.221),2398 (0.193),2524 (0.027),1286 (0.028)
12,b_Performance_10.post.mean,291 (0.221),1058 (1),5706 (0.901),5936 (0.34),3036 (0.32)
13,b_Performance_10.post.mean,1618 (0.193),5840 (0.901),31500.5 (1),32740 (0.054),16471 (0.144)
14,b_Performance_10.post.mean,1268 (0.027),4966 (0.34),26747 (0.054),28084.5 (1),14105 (0.901)
15,b_Performance_10.post.mean,634 (0.028),2484 (0.32),13649 (0.144),14335 (0.901),7200 (1)
16,b_Performance_50.post.mean,128 (1),383 (0.817),2274 (0.375),2143 (0.384),1149 (0.203)
17,b_Performance_50.post.mean,353 (0.817),1058 (1),6211 (0.414),5837 (0.448),3110 (0.207)
18,b_Performance_50.post.mean,1742 (0.375),5335 (0.414),31500.5 (1),29345 (0.798),15646 (0.545)
19,b_Performance_50.post.mean,1649 (0.384),5065 (0.448),30142 (0.798),28084.5 (1),14908 (0.455)
20,b_Performance_50.post.mean,771 (0.203),2410 (0.207),14474 (0.545),13532 (0.455),7200 (1)
21,b_Price.post.mean,128 (1),338 (0.638),1729 (0.352),1489 (0.151),755 (0.167)
22,b_Price.post.mean,398 (0.638),1058 (1),5469 (0.571),4839 (0.229),2414 (0.213)
23,b_Price.post.mean,2287 (0.352),6077 (0.571),31500.5 (1),28171 (0.313),14195 (0.371)
24,b_Price.post.mean,2303 (0.151),6063 (0.229),31316 (0.313),28084.5 (1),14203 (0.986)
25,b_Price.post.mean,1165 (0.167),3106 (0.213),15925 (0.371),14237 (0.986),7200 (1)
