"","X","ID","Timing","Order","Q1Gender","Q2Age","Q3Distance","Q4Trips","Q5Knowledge","Q6Bid","Q7Bid","Q6ResearchResponse","Q6ResearchCertainty","Q7TreatmentResponse","Q7TreatmentCertainty","Q7Bid2Upper","Q7Bid2Lower","Q7TreatmentUpperResponse","Q7TreatmentLowerResponse","Q8DominatedTest","Q9Block","Q9Performance","Q9Emission","Q9Price","Q10Block","Q10Performance","Q10Emission","Q10Price","Q11Block","Q11Performance","Q11Emission","Q11Price","Q12Block","Q12Performance","Q12Emission","Q12Price","Q9Choice","Q10Choice","Q11Choice","Q12Choice","Q12CECertainty","Q13CurrentThreatToSelf","Q14FutureThreatToSelf","Q15ThreatToEnvironment","Q16BP","Q17_Firms","Q17_Cons","Q17_Gov","Q17_LA","Q17_Other","Q18Charity","Q19Knowledge","Q20Consequentiality","Q21Experts","Q22Education","Q23Employment","Q24RonaImpact","Q24AIncome","Q25Understanding","Q7Bid2","Q7Response2","IncomeDummy","Q1WTP","Q2WTP","Q1WTPLower","Q2WTPLower","Q1WTPUpper","Q2WTPUpper","Q1LV","Q2LV","LVQuantilesQ1","LVQuantilesQ2"
"1",1,1,194,1,1,32.5,50,1,3,60,60,1,1,1,2,2,NA,1,NA,0,2,0.05,0.1,5,0,0.1,0.1,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,0,1,0,1,3,3,3,1,1,1,0,0,0,0,2,0,3,3,4,0,750,8,120,1,0,41.166878866794,71.039046545136,-2642.93625804327,-125.905434116928,3873.49474559707,4616.7783173258,2.54133790405018,1.93729508935805,4,3
"2",2,2,347,1,0,47.5,35,0,2,40,40,0,1,0,1,NA,3,NA,1,0,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,2,0.1,0.4,1,0,0,0,0,1,3,3,3,1,1,0,0,0,0,0,2,1,3,3,6,1,2750,10,20,1,1,32.7940672755863,60.0730726126043,-1265.80676059719,-47.4124766300137,3928.40751046802,4790.22074397192,1.19682040788718,0.907411693448092,2,2
"3",3,3,282,1,0,63,1,3,3,60,5,0,1,0,1,NA,2,NA,1,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,0,0,0,1,3,2,3,0,1,1,1,1,0,0,2,0,2,2,2,0,3500,8,2,1,1,37.5551064329164,67.296784596853,-2086.37247914635,-34.2568125170309,6798.68513541787,5277.00255809948,0.638977753312342,0.431028000995822,1,1
"4",4,4,131,0,0,32.5,6.5,2,2,60,50,1,2,1,2,1,NA,1,NA,0,3,0.1,0.1,2.5,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,0,1,2,5,5,5,1,0,0,1,0,0,0,3,2,3,3,4,0,1750,6,100,1,0,44.3288967848719,75.3707504564362,-2965.98542074307,-164.707777139083,5211.34256280759,4474.23529104746,3.79658931981761,3.46958925545276,5,5
"5",5,5,601,0,1,47.5,1,3,5,30,40,1,1,1,1,10,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,0,1,1,2,3,5,5,0,1,1,1,1,0,0,5,2,4,1,6,1,1250,10,80,0,0,38.8334173466371,72.1112366145442,-2140.28667941961,-8.65137766973956,3417.98787597341,4560.98732659944,3.18331929997186,2.95699010549974,5,5
"6",6,6,277,0,0,21.5,6.5,3,4,50,10,0,1,1,1,6,NA,1,NA,1,3,0.1,0.1,2.5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,0,0.5,0.1,0.5,1,1,1,1,1,3,3,3,1,1,1,1,1,0,0,3,2,3,2,4,1,750,10,20,1,0,36.5284049016931,67.1795746630322,-5540.55296301829,-1231.61566632546,4699.45892543028,4701.6522699028,1.30882976007998,1.94410408523941,2,3
"7",7,7,336,0,1,63,50,1,3,40,60,0,2,0,2,NA,5,NA,0,0,3,0.1,0.1,2.5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,1,0,2,2,2,4,1,1,1,0,0,0,0,2,0,3,1,6,1,2250,10,30,0,1,42.2106960557041,70.7155852784414,-2705.63613996731,-37.5610639801429,5552.04968416006,4911.57285270168,0.868314424728572,0.730313899295734,1,1
"8",8,8,595,0,1,32.5,50,2,3,10,20,1,2,1,2,8,NA,1,NA,0,0,0.5,0.4,5,0,0.1,0.1,0.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,2,3,4,5,1,1,1,1,1,0,1,3,2,4,4,6,1,2250,10,40,1,1,41.097198418645,72.9316267924688,-164.916385965474,-30.5537895920982,4193.97914151811,4960.86650190777,2.90740490072324,2.70449156390992,4,4
"9",9,9,502,0,0,63,6.5,1,3,30,30,1,1,1,1,9,NA,0,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,2,4,5,5,1,1,1,1,0,0,0,3,2,4,2,2,0,4500,9,60,0,1,45.435207816074,77.42730341822,-2509.63716636096,-158.801362347458,4279.61500530308,4351.56724321206,3.56407488697088,3.35661689945387,5,5
"10",10,10,794,0,1,63,6.5,3,2,20,70,0,1,1,2,3,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,1,1,1,2,3,3,5,0,1,1,1,0,0,0,3,1,3,1,2,1,3500,10,140,0,1,34.9897936636906,65.1310540176621,-2317.00549376033,-12.6672891753109,2651.14842393738,4959.27020201099,1.44057872043802,2.633524370184,2,4
